,city,Total_Case,Total_Death,Total_Recover
0,achham,646,1,7
1,arghakhanchi,341,2,2
2,baglung,226,1,13
3,baitadi,276,,5
4,bajhang,173,,1
5,bajura,626,1,
6,banke,401,2,361
7,bara,181,2,71
8,bardiya,215,,11
9,bhojpur,6,,6
10,chitwan,122,1,28
11,dadeldhura,300,,8
12,dailekh,834,2,308
13,dang,670,1,89
14,darchula,20,,3
15,dhading,154,,75
16,dhankuta,13,,7
17,dhanusha,606,,237
18,dolakha,10,1,3
19,dolpa,5,1,
20,doti,626,,10
21,gorkha,118,1,10
22,gulmi,359,3 ,21
23,humla,3,,2
24,illam,28,,2
25,jajarkot,19,,
26,jhapa,313,,182
27,jumla,48,,25
28,kailali,979,4,34
29,kalikot,61,,52
30,kanchanpur,463,,7
31,kapilbastu,765,,343
32,kaski,104,,20
33,kavre,18,,6
34,khotang,14,,5
35,lamjung,100,,1
36,mahottari,782,,83
37,makwanpur,36,,11
38,manang,1,,1
39,morang,210,,92
40,mugu,8,,1
41,mustang,1,,1
42,myagdi,45,1,5
43,nawalparasi1,333,,10
44,nawalparasi2,105,,17
45,nuwakot,30,,10
46,okhaldhunga,22,,
47,palpa,563,1,1
48,panchthar,7,,3
49,parbat,97,,9
50,parsa,190,1,188
51,pyuthan,329,,1
52,ramechhap,35,,16
53,rasuwa,11,,
54,rautahat,1501,2,370
55,rolpa,71,,
56,rukum1,12,,3
57,rupandehi,325,1,56
58,salyan,253,,48
59,sankhuwasabha,6,,6
60,saptari,378,1,130
61,sarlahi,755,,226
62,sindhuli,21,,6
63,sindhupalchowk,65,1,2
64,siraha,243,,86
65,solukhumbu,6,,1
66,sunsari,118,,54
67,surkhet,545,1,119
68,syangja,212,2,51
69,tanahu,175,,14
70,taplejung,12,,4
71,terathum,9,,3
72,udayapur,82,,38
73,kathmandu,245,3 ,29
74,bhaktapur,46,,8
75,lalitpur,77,2,2
76,rukum2,38,,
